,active_installs,cloud_avg_price,cloud_max_price,cloud_min_price,cloud_review_rate1,cloud_review_rate2,cloud_review_rate3,cloud_review_rate4,cloud_review_rate5,delta_installs,deployment_cloud,deployment_data_center,deployment_server,description,downloads,is_top_vendor,is_vendor_atlasian,license,market_name,marketplace_type,plugin_system_version,rating_num,rating_score,rating_stars,release_date,vendor_name,version,version_build_number,server_avg_price,server_max_price,server_min_price,server_review_rate1,server_review_rate2,server_review_rate3,server_review_rate4,server_review_rate5,dataCenter_avg_price,dataCenter_max_price,dataCenter_min_price,dataCenter_review_rate1,dataCenter_review_rate2,dataCenter_review_rate3,dataCenter_review_rate4,dataCenter_review_rate5
152,76.0,,,,,,,,,3.0,0.0,0.0,1.0,Jira Agile Clock - Simple time measurement for agile meetings,1900.0,0.0,0.0,commercial,Agile Clock for Jira,Paid via Vendor,Two,9.0,1.989316213965164,3.111111164093018,1421798400000.0,CHROBRUS,3.1.0,300100000.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,,,,,,,,
153,15.0,,,,,,,,,-1.0,0.0,0.0,1.0,Work hour reports Editable Grid for work hours and Gantt Chart,3068.0,0.0,0.0,commercial,Timesheet and Gantt Chart for Jira,Paid via Atlassian,Two,3.0,1.247779919035435,2.333333253860474,1337922000000.0,i4ware Software,11.8.2,935.0,3494.0,13400.0,100.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
154,52.0,,,,,,,,,-4.0,0.0,0.0,1.0,FAST and EASY way to inform customers for the time spent on their requests via the Jira Service Desk user portal,822.0,0.0,0.0,atlassian-closed-source,Customer Requests Workload Report,Free,Two,7.0,2.215500278397675,3.571428537368774,1501634836028.0,Nemetschek Bulgaria,2.0.0-21,10702020.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,
155,12.0,,,,,,,,,1.0,0.0,0.0,1.0,View the time logged by users in the JIRA worklog using convenient table,127.0,0.0,0.0,commercial,Worklog History PRO,Paid via Atlassian,Two,1.0,1.475529529535195,4.0,1536845389218.0,Lime Trees,2.2.0-jira8,200200020.0,838.0,3640.0,10.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
156,58.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,The easiest way to receive a workload report of your team members,0.0,0.0,0.0,commercial,Time To Invoice - Worklog reports,Free,Three,1.0,1.475529529535195,4.0,1591974995149.0,Get-Up,1.0.1-AC,1000001.0,,,,,,,,,,,,,,,,
157,6.0,,,,,,,,,1.0,0.0,0.0,1.0,See absence management in context,31.0,0.0,0.0,commercial,BambooHR Integration for Jira,Paid via Atlassian,Two,1.0,1.475529529535195,4.0,1602838167501.0,New Verve Consulting,1.0.1,100000010.0,3484.0,13400.0,10.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
158,9.0,,,,,,,,,0.0,0.0,0.0,1.0,Painless and automated billing to online accounting systems from Jira Projects,919.0,0.0,0.0,commercial-free,Fastbucks: Automated Invoicing for Jira,Paid via Atlassian,Two,2.0,1.380962035855613,3.0,1342328400000.0,Izymes Pty Ltd,4.0.0,400000000.0,10.0,10.0,10.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
159,20.0,,,,,,,,,-2.0,0.0,0.0,1.0,Extends Jira with Time tracking feature and powerful reports,1583.0,0.0,0.0,commercial,Alkaes - Minyaa Time,Paid via Atlassian,Two,0.0,0.0,0.0,1466416297847.0,Alkaes Consulting,80700.1.35,7000161010.0,890.0,2200.0,90.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
160,6.0,,,,,,,,,0.0,0.0,0.0,1.0,Connect your Jira with FreshBooks and prevent double time reporting for the same issues,1274.0,0.0,0.0,commercial,FreshBooks Connector for Jira,Paid via Atlassian,Two,10.0,2.336546110459657,3.5,1321596000000.0,Rozdoum,0.4.0,300140.0,972.0,2400.0,10.0,2.0,4.0,0.0,0.0,0.0,,,,,,,,
161,73.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,"Best in class Time Tracking, Vacation Management and Project Cost Control. Free and Paid Plans",6.0,0.0,0.0,commercial,Cronforce Time Tracking for Jira,Free,Three,6.0,1.241521750911028,2.0,1441814651911.0,Cronforce,1.0.1-AC,1000001.0,,,,,,,,,,,,,,,,
162,49.0,,,,,,,,,0.0,0.0,0.0,1.0,"SLA for Jira, Timers for Jira, Time in status for Jira",417.0,0.0,0.0,atlassian-closed-source,SLA,Free,Two,4.0,2.039560812980776,3.75,1571229334064.0,Atlas team,0.10.11.21-8.9.0,900400750.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,,,,,,,,
163,8.0,,,,,,,,,-1.0,0.0,0.0,1.0,"Restrict your work logs. Prevent log work in the past, non-estimated tasks or without work description",95.0,0.0,0.0,commercial,WorkLog Blocker,Paid via Atlassian,Two,2.0,1.796968276959556,4.0,1562062521892.0,"uniCORE, s.r.o.",1.0.6.1,1000074.0,217.0,800.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
164,5.0,,,,,,,,,0.0,0.0,0.0,1.0,Copy or Move worklogs entered by users from one issue to another linked issue,391.0,0.0,0.0,commercial,Worklog Sync,Paid via Atlassian,Two,7.0,2.441682776165097,3.857142925262451,1376265600000.0,OBSS,1.7.0,44.0,233.0,500.0,10.0,4.0,3.0,4.0,0.0,0.0,,,,,,,,
165,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,Sum up estimates or any numerical field in any JQL query quickly and easily using your favorite filters. No config required,0.0,0.0,0.0,commercial,JQL Sum Up,Paid via Atlassian,Three,1.0,1.475529529535195,4.0,1592525091954.0,Rhys Diab,1.4.0-AC,1004000.0,,,,,,,,,,,,,,,,
166,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,A simple and efficient way to integrate time tracking on projects in Jira with the rest of your agency business,0.0,0.0,0.0,commercial,Productive Financial Planning for Jira,Free,Three,1.0,1.475529529535195,4.0,1585755619387.0,Productive,1.0.0-AC,1000000.0,,,,,,,,,,,,,,,,
